DISTRICTNAME,UNITNAME,Crime_No,Year,RI,Noofvehicle_involved,Accident_Classification,Accident_Spot,Accident_Location,Accident_SubLocation,Main_Cause,Hit_Run,Severity,Collision_Type,Junction_Control,Road_Character,Road_Type,Surface_Type,Surface_Condition,Road_Condition,Weather,Accident_Road,Landmark_first,Distance_LandMark_First,Latitude,Longitude
Bengaluru City,Byadarahalli PS,1.09772e+16,2017,1,1,Road Accidents,Cross roads,City/Town,Near Bus stop,Human Error,Not Applicable,Fatal,Not Applicable,Not Applicable,Not Applicable,State Highway,Bitumen(Tar),Dry,Not Applicable,Clear,Bangalore Magadi Main road,Tunganagara Cross,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2017,1,2,Not Applicable,Narrow road,City/Town,Near Bus stop,Human Error,Not Applicable,Grievous Injury,Others,Not Applicable,Others,Two way,Bitumen(Tar),Not Applicable,Not Applicable,Others,Herohalli cross magadi main rd,2,1 KM,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2017,1,1,Road Accidents,Not Applicable,Not Applicable,Near Bus stop,Human Error,No,Fatal,Not Applicable,Not at  Junction,Not Applicable,State Highway,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near Mahadeshwaranagar Cross,0.5 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2017,1,1,Road Accidents,Junction,City/Town,Near School or College,Human Error,No,Grievous Injury,Others,Police / Manual,Others,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Clear,Magadi Main road,Near Vinayaka School,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Narrow road,City/Town,Open area,Human Error,No,Fatal,Others,Police / Manual,Curve,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Clear,Muddinpalya VG Cricketers,Near VG Cricketers,3km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near Bus stop,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Manganahalli Cross,Near Manganahalli Bus Stop,4 kms,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,City/Town,Near office complex,Human Error,Yes,Grievous Injury,Others,Not at  Junction,Not Applicable,State Highway,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Infront of Venkateshwara Enterprises,3 kms,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,Not Applicable,Near Bus stop,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,State Highway,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near Sri Lakshmi Channakeshava Traders,3 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near Bus stop,Human Error,Yes,Grievous Injury,Hit and Run,Not Applicable,Not Applicable,State Highway,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near College Stop Bus Stop,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Not Applicable,Not Applicable,City/Town,Near Bus stop,Human Error,Yes,Grievous Injury,Hit and Run,Not Applicable,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near Byadarahalli bus stop,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Residential area,Human Error,Yes,Grievous Injury,Others,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,D Group 7th Cross,Near D Group 7th Cross,3 kms,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,Not Applicable,Narrow bridge or culverts,Human Error,No,Grievous Injury,Drowned,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Andrahalli Main Road,Near Herohalli Lake,0.5 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,City/Town,Near office complex,Human Error,Yes,Grievous Injury,Hit and Run,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Andrahalli Main Road,Near State Bank Of Indian,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near Bus stop,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Manganahalli Road,Near Manganahalli Circle,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Other,City/Town,In bazaar,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,State Highway,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Magadi Main Road,Near Prakruthi Dhaba,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Cross roads,City/Town,Near School or College,Human Error,No,Simple Injury,Not Applicable,Not Applicable,Others,One way,Not Applicable,Others,Not Applicable,Not Applicable,K L E College,Near KLE College,"5 k,m",0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,City/Town,Near Bus stop,Human Error,Yes,Simple Injury,Hit and Run,Not Applicable,Not Applicable,State Highway,Bitumen(Tar),Dry,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near Byadarahalli bus stop,2 kms,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Other,Not Applicable,Residential area,Human Error,Yes,Grievous Injury,Hit and Run,Not at  Junction,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Pipe Line Road,Near Shivasmita Party Hall,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Not Applicable,Not Applicable,Not Applicable,Residential area,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Hosahalli Road,Near BBMP Raja Kaluve,3 kms,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Not Applicable,Not Applicable,City/Town,Near office complex,Human Error,No,Simple Injury,Not Applicable,Not at  Junction,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Others,Andrahalli Main Road,Near Vidyamanyanagar,1.5 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Other,Not Applicable,Near office complex,Human Error,No,Grievous Injury,Hit pedestrian,Not Applicable,Not Applicable,State Highway,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near Canara Bank ATM,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near Bus stop,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Andrahalli Main Road,Near Sri Sai Raghavendra Coffee Corner,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near Bus stop,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,State Highway,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near Mahaveer Jewellers,3 kms,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near a recreation place/cinema,Human Error,Yes,Grievous Injury,Hit and Run,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Tigalarapalya Main Road,Near Apple Wines,3 kms,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,City/Town,Near Hospital,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Hosahalli Road,Near Chikkanna Site,3 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,Not Applicable,Residential area,Human Error,Yes,Grievous Injury,Hit and Run,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Andrahalli Main Road,Near Vidyamanyanagar,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,City/Town,Residential area,Human Error,Yes,Grievous Injury,Hit and Run,Not at  Junction,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Andrahalli Main Road,Near Wood Craft Engineering Factory,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,Not Applicable,Residential area,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Syndicate Bank Layout,Near Syndicate Park,4 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Other,Not Applicable,Residential area,Human Error,No,Grievous Injury,Others,Not at  Junction,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Tunganagar Main Road,Near Nilayam Apartment,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near a recreation place/cinema,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Muddinapalya RTO Road,Near Parvathamma Ramaiah Mangala Bhavana,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Open area,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Muddinapalya Road,Near Muddinapalya Circle,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Narrow road,City/Town,Open area,Not Applicable,No,Grievous Injury,Not Applicable,Not at  Junction,Others,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,"Town Road,",Near Light Pole,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Open area,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ullau Main Road,Near Vishweshwaraiah 6th Block,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Not Applicable,Not Applicable,City/Town,Near office complex,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,State Highway,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near Nandi Motors,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near Bus stop,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Andrahalli Main Road,Near D Group Layout,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,Not Applicable,Near Bus stop,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Andrahalli Road,6th Cross Andrahalli,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,Not Applicable,Near office complex,Human Error,No,Grievous Injury,Others,Not at  Junction,Not Applicable,Others,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Andrahalli Main Road,Opp Karnataka Bank,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,Not Applicable,Near Petrol Pump,Human Error,Yes,Grievous Injury,Hit and Run,Not Applicable,Not Applicable,State Highway,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near Indian Oil Petrol Bunk,3 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Junction,City/Town,Near Hospital,Human Error,Yes,Fatal,Hit and Run,Police / Manual,Others,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Clear,Doddagollarahatti,Near krishna Hosptal,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Residential area,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Andrahalli Main Road,Infront of Bairaveshwar Trader,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,City/Town,Residential area,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Others,Hosahalli Road,Near Hosahalli Circle,3 kms,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,City/Town,Near office complex,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,BEL Road,Near KEB Office,0.2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,City/Town,Near or inside a village,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ullalu Road,Near Ullalu Lake,3 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,City/Town,Near a religious place,Human Error,Yes,Grievous Injury,Hit and Run,Not at  Junction,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Herohalli Road,Near Anjaneya Temple,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Narrow road,City/Town,Near Bus stop,Human Error,Yes,Fatal,Hit and Run,Police / Manual,Others,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Clear,Ullal Upanagara,Near bus stop,3 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,City/Town,Near office complex,Human Error,Yes,Grievous Injury,Hit and Run,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Hosahalli Road,Near Any Time Water Plant,3 kms,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near office complex,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Muddinapalya Road,Near Saikrupa Interiors,3 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near Bus stop,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,State Highway,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near College Stop Bus Stop,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near Bus stop,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ullalu Main Road,Near Upakar Layout Bus Stop,3 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,City/Town,Near Bus stop,Human Error,Yes,Damage Only,Hit and Run,Not Applicable,Not Applicable,State Highway,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near College Stop Bus Stop,3 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Not Applicable,Not Applicable,Not Applicable,Near a recreation place/cinema,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ullalu Main Road,Near Kodagu Samaja Samudaya Bhavana,3kms,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,3,Road Accidents,Curves,City/Town,Near School or College,Human Error,No,Fatal,Head on,Police / Manual,Others,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Clear,Ullal Junction,Near Kodava Samaja,3 Km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near office complex,Human Error,Yes,Grievous Injury,Hit and Run,Not at  Junction,Not Applicable,State Highway,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near Byadarahalli Police Station,0.5 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,Not Applicable,Near office complex,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Mahadeshwaranagar Main Road,Near Aishwaraya Event Shop,1km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,City/Town,Residential area,Human Error,No,Damage Only,Others,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Others,Muddinapalya Road,Near Teek Wood Maharaja Furnitures,1.5 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,Not Applicable,Near School or College,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ullalu Main Road,Near KLE Law College,3 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,Not Applicable,Near a religious place,Human Error,No,Grievous Injury,Drowned,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Dwaraka Road,Near J N Enterprises,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near office complex,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Dwarakavasa Road,Near Rudresh Hotel,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,City/Town,Near a recreation place/cinema,Human Error,No,Damage Only,Others,Not at  Junction,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Muddinapalya Road,Infront of Spoorthidama Trust,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near office complex,Human Error,Yes,Grievous Injury,Hit and Run,Not Applicable,Not Applicable,State Highway,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near Harsha Mahal,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Not Applicable,Not Applicable,Not Applicable,Near Bus stop,Human Error,No,Simple Injury,Not Applicable,Not Applicable,Not Applicable,State Highway,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near Herohalli Bus Stop,0.5 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near Bus stop,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,State Highway,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near Gollarahatti Bus Stop,3 kms,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near School or College,Human Error,Yes,Grievous Injury,Hit and Run,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Muddinapalya Road,Near Spoorthi Dhama School,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Residential area,Human Error,Yes,Simple Injury,Hit and Run,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Vidyamanyanagar Main Road,Near Raghavendra Nagar,3 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,Not Applicable,Near School or College,Human Error,Yes,Grievous Injury,Hit and Run,Not at  Junction,Not Applicable,Others,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Sir M V Layout Road,Near Doddamma Devi Temple,3 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,Not Applicable,Near Bus stop,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,State Highway,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near Doddagollarahatti Bus Stop,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near Bus stop,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,State Highway,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near Herohalli Bus Stop,0.5 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Circle,City/Town,Open area,Human Error,Yes,Fatal,Hit and Run,Police / Manual,Curve,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Clear,Muddinapalya Road,Near V G Cricketers,3 Km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near Bus stop,Human Error,Yes,Grievous Injury,Hit and Run,Not Applicable,Not Applicable,State Highway,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near Indira Hi Fashion,3 kms,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,Not Applicable,Near a religious place,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ullalu Main Road,Near Muneshwara Temple,2 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Other,Not Applicable,Residential area,Human Error,No,Grievous Injury,Others,Not at  Junction,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Hosahalli Road,Near Ramesha House,3 kms,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Narrow road,City/Town,Near Bus stop,Human Error,Yes,Fatal,Hit and Run,Police / Manual,Not Applicable,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Cloudy,Magadi main Road,Near Sannidi veg hotel,1.5 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near School or College,Human Error,Yes,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ullau Main Road,Near Oxford College Circle,4 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Cross roads,City/Town,Near a religious place,Human Error,Yes,Grievous Injury,Hit and Run,Police / Manual,Curve,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Cloudy,"Peenya 14th  cross,",Near Venkataramana Temple,1 Km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near Petrol Pump,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,State Highway,Bitumen(Tar),Not Applicable,Not Applicable,Not Applicable,Bangalore Magadi Main Road,Near College Stop,2 kms,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Residential area,Human Error,Yes,Grievous Injury,Hit and Run,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Muddinapalya Road,Near Rameshas House,4 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near a religious place,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Tunganagar Main Road,Near Mamatha House,1.5 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,Near office complex,Human Error,No,Grievous Injury,Not Applicable,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Dwaraka Road,Near Narasarajaiah Home,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Not Applicable,City/Town,Near a religious place,Human Error,No,Grievous Injury,Others,Not Applicable,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Others,Upakar Layout,Near Venkateshwara Temple,2 kms,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Circle,City/Town,Near Bus stop,Human Error,No,Fatal,Others,Police / Manual,Not Applicable,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Clear,Herohalli road,Near bus stop,0.5 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,2,Road Accidents,Not Applicable,Not Applicable,In bazaar,Human Error,Yes,Grievous Injury,Hit and Run,Not Applicable,Not Applicable,City or Town Road,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Andrahalli Main Road,Opp Balaji Home Appliances,1 km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Other,City/Town,In bazaar,Human Error,No,Fatal,Others,Police / Manual,Curve,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Clear,Magadi main roda,Near Adishwar Show room,2.5 Km,0.0,0.0
Bengaluru City,Byadarahalli PS,1.09772e+16,2018,1,1,Road Accidents,Other,City/Town,Near a recreation place/cinema,Human Error,Yes,Grievous Injury,Others,Police / Manual,Curve,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Cloudy,Gollarahatti,Near Venkateshwara theater,2 Km,0.0,0.0
